Register_ID;Country;Validation;Began;Ended;Duration in Days;Dead;Displaced;Main cause;Severity;Affected sq km;Magnitude;Longitude of Centroid X;Latitude of Centroid Y;M>6;Total annual floods M>6;M>4;Total annual floods M>4;Date Began;Total floods M>6;Total floods M>4
2830;Israel;News;02/04/2006;03/04/2006;2;5;0;Brief torrential rain;1;11510;4.36;35.07;32.24;0;15;1;49;02/04/2006;650;2384
2829;USA;News;30/03/2006;25/04/2006;27;1;0;Rain and snowmelt;1;15350;5.62;-96.89;47;0;15;1;48;30/03/2006;650;2383
2828;Australia;News;30/03/2006;05/04/2006;7;0;500;Tropical Cyclone;1;191823;6.13;115.13;-25.68;1;15;1;47;30/03/2006;650;2382
2827;Slovakia;News;28/03/2006;09/05/2006;43;3;6020;Snowmelt;2;73292;6.8;19.08;48.67;1;14;1;46;28/03/2006;649;2381
2826;Czech Republic;News;28/03/2006;17/04/2006;21;9;11000;Rain and snowmelt;2;196115;6.92;16.09;49.86;1;13;1;45;28/03/2006;648;2380
2825;South Africa;News;26/03/2006;30/03/2006;5;6;4160;Heavy rain;1;2497;4.1;24.83;-27.44;0;12;1;44;26/03/2006;647;2379
2824;Australia;News;27/03/2006;29/03/2006;3;0;0;Brief torrential rain;2;57624;5.54;137.66;-33.97;0;12;1;43;27/03/2006;647;2378
2823;Colombia;News;22/03/2006;02/06/2006;73;130;60000;Heavy rain;1;157985;7.06;-75.6;5.43;1;12;1;42;22/03/2006;647;2377
2822;USA;News;18/03/2006;25/03/2006;8;1;0;Heavy rain;1;16205;5.11;-96.97;33.14;0;11;1;41;18/03/2006;646;2376
2821;Australia;News;20/03/2006;17/04/2006;29;0;7000;Tropical Cyclone;2;464471;7.43;145.54;-17.91;1;11;1;40;20/03/2006;646;2375
2820;USA;News;14/03/2006;23/03/2006;10;7;0;Dam/Levy break or release;1;586;3.77;-159.5;22.15;0;10;0;39;14/03/2006;645;2374
2819;Romania;News;13/03/2006;23/03/2006;11;0;10000;Snowmelt;2;143715;6.5;23.37;44.25;1;10;1;39;13/03/2006;645;2374
2818;USA;News;12/03/2006;22/03/2006;11;2;0;Heavy rain;1;6790;4.87;-86.42;38.25;0;9;1;38;12/03/2006;644;2373
2817;Greece;News;09/03/2006;25/03/2006;17;0;0;Rain and snowmelt;1;19592;5.52;25.57;40.9;0;9;1;37;09/03/2006;644;2372
2816;Malawi;News;07/03/2006;14/03/2006;8;3;8000;Heavy rain;2;64885;6.02;35.12;-14.59;1;9;1;36;07/03/2006;644;2371
2815;Australia;News;03/03/2006;23/03/2006;21;0;0;Tropical Cyclone;2;37925;6.2;114.99;-27.41;1;8;1;35;03/03/2006;643;2370
2814;Philippines;News;04/03/2006;06/03/2006;3;1;1000;Heavy rain;1;629;3.28;125.57;7.17;0;7;0;34;04/03/2006;642;2369
2813;Australia;News;01/03/2006;08/03/2006;8;0;0;Heavy rain;1;33679;5.43;152.62;-30.23;0;7;1;34;01/03/2006;642;2369
2812;Papua New Guinea;News;18/02/2006;24/02/2006;7;6;5000;Heavy rain;1;7507;4.72;144.38;-5.8;0;7;1;33;18/02/2006;642;2368
2811;Malaysia;News;26/02/2006;26/02/2006;1;0;9000;Brief torrential rain;1;1175;3.07;101.65;3.12;0;7;0;32;26/02/2006;642;2367
2810;Namibia;News;24/02/2006;28/02/2006;5;5;2100;Dam/Levy break or release;2;16107;5.21;17.98;-24.53;0;7;1;32;24/02/2006;642;2367
2809;Serbia;News;21/02/2006;01/03/2006;9;0;1200;Rain and snowmelt;1;10087;4.96;20.83;42.6;0;7;1;31;21/02/2006;642;2366
2808;USA;News;21/02/2006;06/03/2006;14;0;0;Heavy rain;1;3021;4.63;-157.97;21.49;0;7;1;30;21/02/2006;642;2365
2807;Indonesia;News;13/02/2006;23/02/2006;11;33;17500;Monsoonal rain;1;33831;5.57;124.66;1.07;0;7;1;29;13/02/2006;642;2364
2806;Brazil;News;13/02/2006;20/03/2006;36;3;33000;Heavy rain;1;149086;6.73;-70.3;-9.15;1;7;1;28;13/02/2006;642;2363
2805;Vietnam;News;14/02/2006;21/02/2006;8;0;500;Heavy rain;2;17541;5.45;106.93;17.04;0;6;1;27;14/02/2006;641;2362
2804;Yemen;News;20/02/2006;23/02/2006;4;5;2000;Heavy rain;1;10707;4.63;44.18;14.54;0;6;1;26;20/02/2006;641;2361
2803;China;News;16/02/2006;23/02/2006;8;0;3000;Snowmelt;1;76507;5.79;87.21;40.66;0;6;1;25;16/02/2006;641;2360
2802;Ecuador;News;16/02/2006;06/05/2006;80;17;55000;Heavy rain;1;61415;6.69;-79.98;-2.23;1;6;1;24;16/02/2006;641;2359
2801;Lesotho;News;15/02/2006;23/02/2006;9;9;3000;Heavy rain;2;30124;5.73;28.24;-29.67;0;5;1;23;15/02/2006;640;2358
2800;Philippines;News;10/02/2006;18/02/2006;9;20;30000;Monsoonal rain;1;78790;5.85;125.12;8.16;0;5;1;22;10/02/2006;640;2357
2799;Algeria;News;10/02/2006;15/02/2006;6;1;60000;Heavy rain;1;180479;6.03;-5.91;27.67;1;5;1;21;10/02/2006;640;2356
2798;Malaysia;News;10/02/2006;18/02/2006;9;3;7000;Heavy rain;1;85480;5.89;102.54;4.33;0;4;1;20;10/02/2006;639;2355
2797;Iraq;News;04/02/2006;12/02/2006;9;0;28000;Heavy rain;1;77638;5.84;45.49;34.21;0;4;1;19;04/02/2006;639;2354
2796;Indonesia;News;07/02/2006;13/02/2006;7;0;300;Heavy rain;1;29004;5.31;102.23;-1.82;0;4;1;18;07/02/2006;639;2353
2795;Papua New Guinea;News;03/02/2006;19/02/2006;17;1;12000;Heavy rain;2;34452;6.07;147.28;-9.07;1;4;1;17;03/02/2006;639;2352
2794;Fiji;News;04/02/2006;09/02/2006;6;4;224;Heavy rain;1;2373;4.15;179.65;-16.45;0;3;1;16;04/02/2006;638;2351
2793;Tanzania;News;03/02/2006;12/02/2006;10;1;938;Heavy rain;1;75937;5.88;32.52;-5.32;0;3;1;15;03/02/2006;638;2350
2792;Saudi Arabia;News;01/02/2006;06/02/2006;6;6;0;Heavy rain;1;22619;5.13;35.58;29.73;0;3;1;14;01/02/2006;638;2349
2791;Fiji;News;29/01/2006;06/02/2006;9;0;168;Tropical Cyclone;1;6258;4.75;177.68;-17.82;0;3;1;13;29/01/2006;638;2348
2790;Norway;News;30/01/2006;04/02/2006;6;1;200;Heavy rain;2;41523;5.7;11.93;64.15;0;3;1;12;30/01/2006;638;2347
2789;Indonesia;News;26/01/2006;14/02/2006;20;19;10000;Monsoonal rain;1;73074;6.16;108.59;-6.85;1;3;1;11;26/01/2006;638;2346
2788;Indonesia;News;22/01/2006;27/01/2006;6;11;3000;Monsoonal rain;1;47810;5.46;117.29;-8.44;0;2;1;10;22/01/2006;637;2345
2787;Brazil;News;27/01/2006;30/01/2006;4;12;0;Brief torrential rain;1;9335;4.57;-43.36;-22.56;0;2;1;9;27/01/2006;637;2344
2786;Bolivia;News;25/01/2006;17/04/2006;83;23;100000;Heavy rain;1;955843;7.9;-63.43;-16.03;1;2;1;8;25/01/2006;637;2343
